,Users,Comments
4362,HillaryHermes13,I can't breathe without you..but i have to 
4363,DrEvil,knows his life sucks because the people at hte coffee shop are telling him he works too much 
4364,nerrad,Lost my car keys 
4365,MissPolo,-nvm. can't go back! so im stayin up... 
4366,VioletsCRUK,@MattLewisMusic Aww you not well again Matt?  Whats up?
4367,sarah_walter,@TiaMaria8 I'm working today 
4368,MatteoScavo,HOLY CROW!!...who knew that a TTC employee would sexually assault someone on the TTC...people these days 
4369,gemkeating,i don't understand twitter i can't use it 
4370,AnthonyKetchum,@Allypwnzn00bz I miss youuu bbygrl! 
4371,duhris,I don't like saturday mornings 
4372,zamzarvideo,@razorianfly I only have 78. 
4373,jnelson,Last Breakout of the conference. 
4374,HaitianBreeze,Jus found out he had his eyes on m 4 a minute.Soo flattered...finally met. He is such a gentleman....but too far  ...
4375,willminey,Really tired  not goin out tonight.
4376,patriciaco,@TomFelton Hey Tom. I'm really having a bad day right now and only a person as awesome you can make me feel better. Seriously. 
4377,shamandawow,Woke up with an awful awful headache. 
4378,jackspencer,@queo Oh well.. 
4379,racheleve,"@lgmacdonald I understand   Pello is lonely, so I went to the kitty shelter yesterday, but i got too sad."
4380,MR23451,@askandiwilltell I thought you was gonna do my hair!  see how you treat me!
4381,schamloser,Only 70 km to go and now...traffic jam - I hate it... 
4382,jflenihan,is feeling nervous/ anxious and i don't know why?!?! 
4383,Vixyfairy,thats it all these accounts saying there sum and all they hav is we will giv u free ringtones LEAVE ME ALONE *SLAP* 
4384,lauqhinqlaura,@snapcrackleDIAN maybe its cause of ur plan  somebodyys bday is comingg up! 
4385,keepdance,"http://twitpic.com/6r23q - I miss u so much  i miss our games, when you bother me while sleeping, when you wake me up pulling my hair. ..."
4386,aprettyproblem,i GOTTA GET FROM AROUND HERE NOBODY CARES ANYMORE 
4387,TGGGuitarB,@mindywhite i wish so bad that i could go to the show tonight! but i don't have money for a ticket  i'm in between jobs... blah!
4388,CustomJDAxis,off to work.. ugh.. 
4389,spdesigns1,hmm....i guess i have a cold 
4390,Tattoonut,80 and sunny to bad I gotta go to work.........indoors 
4391,TaraAM,i dont like the leaving cert 
4392,jesssicababesss,@nikkeexox its not her its her company 
4393,mererenee,Ello every1!!!! Lost my game today  but I beeeeeeaaassstteddd
4394,EsooverGo,I think im gonna get poison ivy....  but its worth it 2 see my dad smile
4395,k3nn3thcarl,im waiting the release of 3.0 firmware for my iphone 
4396,SicknastyRaeann,Coming back here brings the fondest memories. Im crying  i miss July 14th 2007 more than anything.
4397,livewithasmilex,I wish there was more fun in my big bag of fun  i bored. 9 hours to go.
4398,Nicki_,my room is messy  don't like it.
4399,Blkbarbee,@bowwow614 that bitch ashley for callin the cops after she got her ass whooped now my girl eb's locked up!!!  &amp; tht nigga's baby mama  ...
4400,eMeM92,@CatherineDream I want it either!!!!!!!!!!  But it won't be real 
4401,lucysavagex,"@mileycyrus i can't believe your uk tickets are like Ã‚Â£60. im sorry, i want to go so bad but its ridiculous "
4402,yemil,"I want a palm pre, sorry iPhone "
4403,katecocaine,i have a fever 
4404,Lucy_mae,"@lindsayc89 ben won't believe me, he's convinced Margret will never leave nick  sadly it's happened! Think he's been seeing someone else!!"
4405,OhHeyRachie,Just woke up. I'm still really tired but i cant get back to sleep 
4406,_phoebee,@lizzieeeh no ideaaa. its just stinnggiinnnggg ! 
4407,Sammmmeh,Wishing @laurennhannahh could be here for my birthday tomorrow  SEVENTEEN! Ahh!
4408,albd_music,I hate long graduations.. 
4409,deathbycliff,Mowing the lawn. Blah day 
4410,pardy090,cleaning my room. then studying for finals 
4411,haswandi,just got back~ flying off again 
4412,MarianneSays,@adriolivera and now alexis cant go either 
4413,Kogenre,"Back from 1st training day. oww oww oww oww oww and oww. 30 miles, 1h54m. 4 miles off target. Mainly because of silly choice of trousers! "
4414,BrianJacobSmith,"We'll see about CrossFit - am seeing a physical therapist on monday. Might have to go in a different direction, which blows. "
4415,honey408,@iLLBLvnDW4Evr32 did you ever make it back in to the after party?  adding you to MS now! have a great time in NJ!!!
4416,dandelionfaerie,@cacatlover MMussing would be much more appealing if he didn't send out 20-30 tweets/ a single day -loses something when it's over done 
4417,sparkgrrl658,"survived part 1, but candidates get 2 hours for lunch, &amp; we only get 1/2 hr  (&amp; my dad just started talking about twitter.)"
4418,jesslynnicole,kelsie left early this morning  work 5-close today.
4419,yellowdogsandy,@garbagedog I miss my squeaky bear. I killed him the other day... I need a new toy. 
4420,danykmpos,Please follow me 
4421,einfeldt,-&gt; @keydon I think @phuertas is implying that Gates does not understand Spain or Extremadura. Not sure bc my Spanish sucks 
4422,Emderella,awww. I want the sims 3 too 
4423,jennaburgus,only thing i don't like is that the model is like... 48 years old and it shows. but when you're looking for paid work you can't be picky 
4424,seximamiof2,@Maestro oh I just looked and you not following me anymore....  
4425,themonkeymaster,"another day, the rig is finally moving,, will be in port tomorrow! but still on the rig.... "
4426,VikkiStar,the pup and I are both ill today  sucks to be us right now
4427,Jelly_Jellz,@jessicablair20 I'm home....where r u??? I have a new phone nd dnt have ur number!! 
4428,Aairh,http://twitpic.com/6r1bq - i want to have a shoot with them agaain 
4429,meljonasxo,doing some homework  + I have a cold! Borinnnnng!
4430,dogwalker73,@jordanknight was in Orlando...was going 2 see u in Tampa but show was canceled 
4431,JackiiChan,@markindelicato What's the CT? 
4432,evanh86,Just past a baby deer on the road... Dead. 
4433,elise0703,"@dancingin By the way, Have you found something about the video I was looking for? Still can't find it "
4434,SoWrongItsAud,Haha. I don't want to leave!  really.
4435,knlsmom,"@jordanknight Not in NJ today   ALL the way on the other side of the country.  Hope you got some sleep, and are enjoying your day! "
4436,KidCalloway,@ShynJamero  hokaay . its just taking foreeever and infinity years to strooong ! goooosh !
4437,bugsandfishes,I am however freezing. It feels so cruel being back to winter hoodie weather after such heat! 
4438,lazarACE06,Done with work. Just copped 4 new pairs of swimming trunks..heading to the pool at the cove..not like wolf creek though 
4439,AmazineMonique,ugh my momma has to work today have to wait one more day for posole Boooo 
4440,SaChCh,threw my back out big time - yeowch! - just in time to not help Shanea and N8 move today 
4441,kservss,daddy please get my car fixed by tonight 
4442,leilalala,@jordanknight not in New Jersey 
4443,sydneythegolden,@CartersChord i wanna be on the lake 
4444,tallglassofh2o,@zacatk O zachary...I miss you. 
4445,kshb,has had no replies to her e-mails 
4446,bllokim,I miss out on an incredible service cos I was attacked by sleep monster 
4447,carlietracy,gettin reeady to go to st.louis cuz my cousins in the hospital again 
4448,mnrmg,@ThatGuyFSU_ATL that was really sad. 
4449,Sherrykokino,Packing up to leave the beach   back to hot ol' Arizona
4450,elladrama,Damn.. Out when I'm suppose to be asleep.. Lol! How am I suppose to do hair tomorrowv! I can't stop thinking about him!! Miss you baby 
4451,macgurly,it does no good to have my iPod if I don't have headphones!! this is gonna be a long day at work! 
4452,watueueh,... my last tweet:I dont understand edufire 
4453,yesssPecan,@moby74 They are both short stories tho' 
4454,FaithyHope,Faithyhopes flatmates room was broken into last night and I obv slept better than I imagined as I never heard a thing 
4455,JoAnneJoyM,Aww West Indies beat Australia... Hooley dooley 
4456,Emilyann87,Is mulling over this bad weather 
4457,ChrisHFilms,"Dang it, I have exceeded my API calls limit "
4458,BriannaDinsmoor,I MISS ALL MY FRIENDS!!!!!!! I WANT TO GO BACK TO SKOOL FOR MY FRIENDS 
4459,alexvalentin,"just got my tonsils out  i feel like poop.  hopefully gabby comes over today, cheer me up."
4460,privarma,@hnprashanth how was startup city??? had plans to come but dropped it at the last min 
4461,trillyMAYTEE,@Zack_JB i do exist  unless this is really shaneece and she has made anova account to trick you &amp; you shall never know -evil laugh
4462,ChrisandCal,awwww wanna play TF2 but twitter keeps distracting me  .... cal is doing kids tea I get to do ours later niiice
4463,jessicaconnell,I canttttttt get out of bed 
4464,Brizzle789,iPhone was turned  probably won't be turned on til tuesday. Reach me over myspace or something I guess.
4465,mcolbourne,@geekmama well actually if im honest its times 3  amy has been a whingy pot all day just wanting to feed all the time! hasnt slept either
4466,jadaguila12,fun night in davis! 5 hours of sleep and clean up  now back to reality
4467,ZarrSadus,"Swim workout at @DowntownYMCA cut short by the storm, unhappy  #fb"
4468,RanaeShrider,so i have to bring food to this pleasure party so i guess i will take them the left over grapefruit hahahaha im such a bad guest lol 
4469,1337wine,so i maxed out on whom i can follow. currently at 2001  I need more followers so I can break that barrier!
4470,lilLinZ311,mayb sleepova with friend idk i need to get sumthin from avenue at the 'NY and company' store but got no one to go with 
4471,LetterM,@KatieMonster How did that happen? 
4472,Tizix,I try but twitter shoots me down 
4473,raybaybay89,Baahhhhh! I'm watching Paris Hilton's My New Bff but I have to go back to work 
4474,EskimoJoelted,@DazzleMeThis BORING! Half an hr til it leaves perth 
4475,mohaps,Post innoculation fun with Adya 
4476,mthfcknALYSSA,Morning twitter! I have been neglecting you! I'm sorry 
4477,rainbowava22,4.5 hrs of work 
4478,CRAZY_kimi,GOOD MORNING! Slept at my cousins house. I feel nasty from the heat yesterday  didn't even have a change of clothes. Yuck lol  [xoxo]
4479,Me_Piglet,"@fryfan20 read a bit of u'r second chapter - interesting!!! Pity my eyes &amp; my mind are too tired today, can't read long enough "
4480,ASoM_loUBoUTIN,i want eat this http://www.sprinkles.com/ 
4481,omar_g,@SilkeSchild Yup  I'm flying home tomorrow.
4482,BlahHannahBlah,A little upset. I've been up since 6 something this morning and still no word from my baby. 
4483,alexis919,oh and i got licorice at the movies and chistan was hitting me in the eye w/ it the whole time. it hurt 
4484,sashataakheru,"*tears up* Aww, man, I love that little milk carton. "
4485,davidrules04,On my way back to manc  however have to unpack I just packed like yday  oh well xbox on 50&quot; tv whoop
4486,rjgeyer,"Laundry to collect, breakfast to make, and gonna try to pull the engine and trans outta the X today. Getting a late start. "
4487,emmmmaa,On the train siting on my own 
4488,LaurieBee,@SomethingGirl I'm sorry 
4489,punkindesu,i wish i had a cell phone. 
4490,lauren_eileen,"is off to work in a little bit, ewwww! "
4491,mackenzie_ohhh,out of the shower.. wish i was goin surfing.  but nooo.. im goin to eat chinese in a bit.
4492,mari_fletcher,@TomFelton only the tom's can stay on top 2. Archuleta have to get out 
4493,aDamBacon,Margaret's leaving the Apprentice 
4494,LoganBSU,want to go to water park with @juston303 &amp; @brayleycrowe but its raining 
4495,sikiky,It 11.30 pm and can't sleep 
4496,icrashplanes,@nvrshtnvr12 Why do I have to be red?  ) Star Wars is what's up. :&gt;
4497,Jamespage67,@elle_blessing yea hes working our house is wired bad  the guy said its the oldest system hes ever worked on
4498,MzBrandiNicole,My mama dem got jokes! They talkin bout my hair! Its hurting my feelings 
4499,salsadjdave,is back from 'Elevator DJ Flohmarkt'. It was raining the whole time I was there... 
4500,michalbr,help i'm playing sims 3 all day 
4501,smilighter,SO COLD!!!! 
4502,nikkieniks,shares http://tinyurl.com/owwzb7 i miss 'em  http://plurk.com/p/yx70q
4503,streetforecast,i can already tell that today is going to be a bad day   i can feel an argument coming.. ~_~
4504,RanaeShrider,"then i have 50 million errands to run and head to my glam squad to get looking hot for the playboy party tonight, still no outfit "
4505,wildriverswater,"Oh, hello rain clouds. Must you visit me on a weekend "
4506,MarieNicoleRyan,"Back from WW. Gained 2/10 lb. Would be okay if I were at goal, but I still have 27 more lbs to go. "
4507,hanndorey,down and out... 
4508,OMGia,Goodnight and goodbye summer 
4509,misspinkcouture,Devotions were great... Honor your Father and Mother... how many of us do that? I had to apologize to my mommy today  I can be a handful
4510,cafe_con_leche,late nite food adventures = discovering grease stains on my new kelly green coat  today 
4511,Adacita,"5 Minute break, gee thanks "
4512,TonyMai,Someone come visit me 
4513,sewManiac,"having a garage sale, and its a rainy day "
4514,mz123,@XtinaMarsh Note: I can't find my snuggie.  I think the boys convinced James to hide it from me  I bet it's at goodwill.... *tear*
4515,nikkluv,@Sammeroni hi bebehhhh &lt;3 i miss talking to you too!  i hate working so much!
4516,spitesprite,"Sore after skating, as usual. Stupid knees. "
4517,jtabernilla,i missed listening to Panic! At The Disco! 
4518,jesimari08,Too much storming over Casselberry to sneak off anywhere 
4519,dandandanja,"went 2 watch &quot;Drag Me 2 hell&quot; was funny, scary, made me jump. now im @ work. only slept like 3 hrs. "
4520,_lad,"@PhantomPai omg it's really happening!!! and ur getting a BB, no more iphone "
4521,faithie16,I get to work during the day today. Too bad I can't think of any parties going on tonight... my life is boring 
4522,icloudz,"@kristianc nah, my mumhid them "
4523,chasemotter,"just woke up at macgregor's, I have the worst headache "
4524,JulietofGG,oh how i hate my life right now. ughhhhhh my belly hurts 
4525,_strokemyEGO,My daddy just order my MacBook. But he got the white one  I told him I didn't want that shit!
4526,lejunkdrawer,@drnik46 true--but this is 2nd major car repair in 3 weeks! Plus huge vet bill on thurs  It's just a lot all @ once. Boo. Oh woe is me! ;)
4527,kisstherain,IÃ‚Â´m missing my sweet turkey so much  love&amp; miss u guys there :-*
4528,deltagirl8,its a nice day...but all I wanna do is sleep  I need motivation
4529,ChrissySmile,Sad about kevin  x LoveIsDEAD x
4530,xxkathyxx,"@stolenrain Well, I like it, jeez  I will never change it!!!!!"
4531,jamiemcflyx,I thought Jonas Brothers prices were too high...Miley Cyrus prices are totally disgusting 
4532,imht,I can't believe the weekend is almost over! That is just rediculous! 2 days is not enough! 
4533,janicechian,i am an incredible procratinator. If i'd diligently studied from fri i'd ace my paper on mon. Thx to procrastinating... I rrly dont know 
4534,akwilley,Working all weekend .... and working all next week.  I need the BEACH and SUN!!! Boo.
4535,walkthepic,15 minutes till i have ran 40 miles! In a lot of pain 
4536,icloudz,"@kristianc Nope, my mum hid them "
4537,seruniputri,had dinner with the girls in gourmet garage..last dinner before the holidays without them aw 
4538,jonas_twilight3,@Jonasfanlove http://twitpic.com/6r20u - I USED TO HAVE THAT AS MY COMP BG BUT THEN MY COMPUTER CRASHED AND IT HAS NO MORE JB T.T  JU ...
4539,Jazzled4life,just left a memorial service for a co-worker 
4540,Sheilakrs,@shanedawson i sorry u fell thad way  im sad im not ther to make u fell better
4541,raetyz,wonders why the change of status approval notice is taking sooo long to reach her. Itching to get out of the country for a bit. 
4542,Roboteernat,wooo sunshine - got my washing out on the line tho i fancy some chocolate 
4543,Brisaac,"@majornelson If I may ask, what are you doing going over to Iraq? I don't have any phone recommendations, I need to get a new one. "
4544,caitymay,@hipattack it probably does then  my bank balance is a fail until tom gets a job. okay... deal
4545,lorenlovespeace,idk what to do today 
4546,neishatheKourt,Smh... subpar men... y can't I have what I want 
4547,BrennaCeDria,"Yay: Thunder. Boo: Thunder, but stepdad hasn't gone to get my car yet. "
4548,i_am_mclovin,@rachieonmull oh hun  if you ever need to talk...
4549,mqudsi,@aveeksen Consider yourself lucky... Shipping to Jordan + customs comes out to around 40 dollars for 3 atmels 
4550,Hayley8343,How sad is it when only friends that actually share your passion for McMusic are miles away from you?  The most sense I've heard in AGES
4551,blitzrussia,@verycris I hope Lana's okay  x
4552,TiffanyDiane816,Having an awful day 
4553,Unmature,I wish I could go to Mocca 
4554,biancafoppe,"I do this particular patient every day, &amp; it gets harder everytime, bcuz we always have a fun time &amp; I see her getting worst every day "
4555,MarcMillan,"@TY Park... Cutting watermelon, looks like rain is showing up soon "
4556,stephelooo,its so shitty outttt!  i want it to be sunny and warm for summmer! going out with loreennn.
4557,veromiami,Another stormy day @ Miami  ......
4558,priscx,"brin's ignoring me n even refuses my cuddles  she must be able to smell milo on me,that jealous bun of mine!"
4559,claireswinscoe,i have stomach ache...  needtorevisemoreneedtorevisemoreneedtorevisemoreneedtorevisemoreneedtorevisemoreneedtorevisemoreneedtorevisemore
4560,mohitranka,I am sick and no one cares enuf to condole 
4561,patriciaco,@TomFelton Hey Tom. I'm really having a bad day right now and only a person as awesome you can make me feel better. Seriously. 
4562,palmita27,@Nyammy unfortunately 
4563,MateoSunderhaft, they cancelled the guitar hero tournament 
4564,Bopsicle,Argh!!!! Gotta go to this damn wedding shower soon 
4565,campcrusher,"Let's Go Pens! Gotta get some designs done today...not really looking forward to it, but it has to be done. Also gotta clean the house "
4566,jules_rulez,I miss my girl sooo much...  I just wanna be with her...
4567,filthykitten,"at a wedding, too bad my wedding date isnt here "
4568,FlashyAshy,fell asleep ....cor blimey i feel like a pair of smelly pants now..... 
4569,jacqueparry,It is absolutely beautiful outside! I have to work until 2 though 
4570,xxTrAgIcMeSsxx,is feelin lonely 
4571,Monica2112,now i gotta go back to work. 
4572,Mjuzz,"I'm so sleepy :| and its so cold, where's my summer "
4573,Barcles,Should one be cold in June? 
4574,lilmizinnocent,@SS_Bassani wish me luck Mike is comin 2 c the kids 2nite or 2morrow. 
4575,michellewordd,wont be seeing hello control tonight  fml
4576,qubicmx,@jestdempsey Fleetwood Mac canceled at the last minute here in Cgy due to illness.  Some very upset ppl who arranged flights/hotels.
4577,Daniel_Gomez_,"@MarkusSchulz Men, good luck with that..... I feel sorry for the crowd "
4578,salsabiilaa,"Anis, my auntie is very worrying you  get well soon okey?"
4579,mariah411,@DavidArchie Are you ever going back to Manila? 
4580,Bluraven,"@MarronMarvel I do believe so...however IMDB only has details for PRO users, so I don't know much more than that it's in the works. "
4581,budgetsaresexy,back from yardsales - there were some good ones out today!  now time to cut lawn &amp; take nap.  no coffee as yet 
4582,MinishaM,Have a good one everyone. And heard the weather will be like this till next Tuesday! 
4583,jessieprade,@becorrupted por queeeeeeeeeeeeee??????? 
4584,dammit89,i feel ill  dashboard confessional is keeping me company though- hands down- best memories ever!! 2003 rocked!!
4585,Seanfunk,@anthonymartinez RIP MBP 
4586,marychemromance,@nicksantino I LOVE ANGUS!!!! i want a dog really badly 
4587,xoxolucky,Fml i went bowling last night and someone stole my wallet 
4588,gemilita,am i the only one not happy about the suspension of classes? i really wanted to get back to school 
4589,SheriRajana,"@aprilBREEZY sorry bout last nite, april darlin' "
4590,Sueitsme,@maandyMADNESS Chispea ! 
4591,ohhmyjonas_xo,DisneyChannel Mode! Watching Stuff on Disney! Too bad J.O.N.A.S isn't aired in Ireland 
4592,DJLoopsFruit,@5windows still hate me  ???
4593,MCRmuffin,"@xxtRaGiCmEsSxx me too, kindaa "
4594,jeverton,@mattwalker2 noo just doing the show... Nice and easy (Y) hows the revision? 
4595,poonican,wonders if he was an asshole last night 
4596,DarwynXRivver,"@Nicola_Donnelly  I'm alright my friend, kinda bummered we r bac on monday  But then again miss yoooh x"
4597,skjelett,"@mdhyo aww! That sucks. Still, wish I was there "
4598,annaaralar,we were late for the movie..  .. so we had dinner at Pink Pepper at MOA instead.  --&gt;  http://pikchur.com/aXN
4599,Ferryn,i want a husky so bad! 
4600,DolledUpRich,`im tired of living out of my suitcase... 
4601,FluffyFanoona,"@AngelAstra probs, cos its relevent if we need to comment on the date sources were made and blah. i know bb, i miss hitler toooo "
4602,helloiamviolet,cramps! 
4603,MeganT23,"On my way to softball. Im dead Tierd, its starting to rain, and my back hurts. Ouch  but praise the lord im alive another day! XO"
4604,andy_number36,Has managed to waste most of the day watching motorsport on tv. Needs to do some work now 
4605,ATLKlassic,"@Pacechick1  i knw, but he is trying"
4606,lalayu,@Madsoli im sorry...thats how i felt w/ mads.... 
4607,VivaLaShoSho,@MissJournalism Ugh this weather is putting me in a bad mood. I'm gonna watch movies online all day. 
4608,Mathewh,"always the way - you make a poster, then go to print it, and you run out of ink.    time to run out for some more!"
4609,imjoebaker,Such a pointless day for me  got work in 30 mins.. AND  tomorrow :/
4610,RefugeeLife,wishes the Starbuck in Chinatown hadn't shut down. 
4611,clckbankreviews,Sad Day -  Had to Swap Out an Affliliate of over 10 years ... http://tinyurl.com/oxfqfc
4612,jodi_ebony,http://twitpic.com/6r2o1 - All Dressed . . . 
4613,dj_flatline,the new Terminator movie sucks 
4614,orisue,"So, there were plans of zip lining through a cavern somewhere in the east bay today, but no go anymore. "
4615,callummccahon,"@AJWallace ah cheers. for civilsation, its sparta, olympics, theatre and what else? im so screwed - I have no notes "
4616,Sunflower4000,Yay I broke another mower 
4617,LusaSousa,"http://twitpic.com/6r2oe - look at the iguana we found, if you look closely you'll see that its missing a limp "
4618,maydelemos,@fenderdb   Rest in peace.
4619,audreycanady,Hurricane again!  I'm scared! Hail better not hurt my barbie car!
4620,Mmmaddie13,Well I'm up now.. Woke up hot and crampy :/ started my dot 
4621,pajaritafeliz,its saturday and i have no plans 
4622,icysun23,@FaketragedyCom aw that sucks 
4623,sarahoutloud,has to wake up and leave Vegas 
4624,pappe_it_is,Aus goes down to Gayle assault.. wasnt able to watch the match  #wt20
4625,brianalea,Lovin' this pretty day.....through the windows at work.    ~Briana~
4626,iCarluccio,@ijustine Im waiting for your next tweet as you've scared(?) me with your Pre post! I think you'll end up with one 
4627,BethanyNicole1,Reduced fat all natural peanut butter...why even bother eating it? I might as well go lick a cardboard box. mmmmm 
4628,roxybella143,I wish I was enjoy this beautiful weather in NY  but I'm working. I hope to make up for it later
4629,be_Tinkerbelle,It is so painful  my new vnc shoes :-P
4630,KiyoDandre,@WhatsTheT  I thought I had offended @booskee9 ... I felt really bad cause of what I had on..thought he saw me like a slut 
4631,Neva2b4gotten,"packing- getting ready to go to Brooklyn, video shoot tomorrow morning, then straight to Lake Placid for a few days. yay- but super busy "
4632,boouwhore,Thank god bishop came up today so feel's lik a friday thou 
4633,xXKatieRawrXx,Why does Time of Your Life always come on when I start feeling ugh? My face hurts.  
4634,kathylittrell,@overloved noooooooooo no tell me pls I have no time to check it out in this moment!!  hun I'm ok! what about u??
4635,sumaya,Tried sleeping in this AM. All the banging from the construction workers working on the house across the street didn't let that happen 
4636,jaimielouu,@DavidArchie I'll do anything! just reply!! 
4637,SuesLady,Proably to the pound...she was a pit so I know they put her down. 
4638,VMV05,missing the apt 
4639,Dutchrudder,"@madeinwales she normaly good,,, just blooming teething "
4640,chrisgasm,'twhirl' isn't working on my computer anymore.  
4641,furiouscouture,is sad he didn't get a day in the studio!  on his was to a UV-free session and picking up food with matthew!
4642,KristopherJoe,So I am hearing we caused an accident last night.  it was the bottle of patron I tell ya!
4643,aidadoll,@PrinceSammie ugh you should go to day 2 tomorrow thats when im goin 
4644,JoshSemans,@ruby_gem that's not fun 
4645,pinksugacupcake,@Chriscarroll50 there is nothing good on tv. 
4646,EmmDeeonTwit,@jordanknight NOT ME   HOW R THE SHOWS GOING FOR U SO FAR?
4647,WolfSnap,Getting my roof fixed today. Noticed it leaking this winter after a really bad rain storm. My home warranty expired days before the leak 
4648,smillerunr,@thenogg that is very sad news 
4649,allisonxriley,showered and getting ready to go and do some vacuuming FUN.  haha
4650,codymckibb,@nomadicmatt Where you staying? Looks like we JUST lost our Couchsurfing couch for the next 4 days   http://redpalm-kl.com looks good tho
4651,AgainstClint,@jts8820 
4652,charonchariot,wondering how to get more followers.  I feel like the unpopular kid at an elementary school punch party.  Gimme a cupcake.  
4653,mistresskeo,"@Alchanii  i admit i suck at tf2 but i don't try to suck at it, i actually try to get good at it  i just... aparently can't get better"
4654,_michell_,Needs a nap again and I have only been up for a few hours 
4655,tiffypooh613,Im about to leave this house for the day...but i dont have anything to do  i wanna go to Jersey but i dont wanna drive that far damn w ...
4656,MariRamos,Spent this cool Sat. morning cheering for my daughter's all-star softball team. Ouch! We lost 3 games in a row!! 
4657,GiuliaDaSilva,about to miss another cebollitas' play :/ i swear i can even walk!!! my eyes 
4658,eckodabrat,@MsGitMuhnee good slept great.. nothing special 
4659,reneetan,I don't like doing assignments that I don't understand. 
4660,daterwey,Chem SAT II was easy as balls (except maybe for that one true/false/correct explanation) section; history was alright. Physics NG 
4661,FrankPatris,"@Stelephone while that would be fun, it's just a matter of picking the RIGHT people. so many movie remakes and sequels suck nowadays. "
4662,darlenefolk,ok... forget tylenol... a baseball bat to the head/face repeatedly should do the trick now. i hate sinuses!!!! owwwww... 
4663,marulechi,"sooo tired, wish i could stay in bed all day long , but i am already late for lunch soooo i guess i should hurry . i miss my girls alot "
4664,userealbutter,this morning's trail run confirms... pup is getting old   and slow.
4665,D0reen,Wont be going to see Rob(Dyrdek) today.. Sorry Rob! 
4666,alexgue,Doesn't understand how he got sick again 
4667,mikaelaxmk,"So apparantly @mileycyrus tickets are Ã‚Â£60  if that's true, I won't be able to go  gutted."
4668,hiphopisnotdead,the science exam will be the death of me 
4669,ShockTwist,I think my guinea pig has lice. 
4670,petetysonrob,Awws bfd tickets are sold out. I'm sorry @EricVictorino @totallyGIO @TheLimousines  I won't be able to see u 
4671,peterpham,#prestock  r#palmpre redwood city Sprint store now sold out had 25 i'm waiting for them to port my # systems crashing under load 
4672,savoryseattle,"I tried to get into the Simply Seafood class but it was sold out  I hope you do another one at the Edmonds PCC, that's my neighborhood!"
4673,jaeowens,"I'm at work until 4, but when I get off, I have nothing to do "
4674,malene88,It's raining 
4675,boizo,"hmmmm take a shovel and cave deeper inside my heart, leave that space empty, as always "
4676,foresha97,"Another Saturday of overtime.. the money is nice, but I have to miss my daughter's ball game "
4677,angelirosales,@chuckckcooper just got home from a date with dino. ;) Ã¢Â™Â¥ how about you? di ka na nagpakita! 
4678,creamcream,ÃÂ—ÃÂ°ÃÂºÃÂ°ÃÂ·ÃÂ°ÃÂ» ÃÂ´ÃÂ¶ÃÂ¸ÃÂ½Ã‘?ÃÂ¸ÃÂºÃÂ¾ÃÂ² American Apparel: http://is.gd/Qroa ÃÂ”ÃÂµÃÂ½Ã‘ÂŒ-ÃÂ±ÃÂµÃ‘?ÃÂ¿ÃÂ¾ÃÂ»ÃÂµÃÂ·ÃÂºÃÂ°. 
4679,playn2hard,The sun is out!!! Quick dash thru Chores to get outside Trying to schedule trip to mom and dad's 3 years ago Jessica left for Germany 
4680,amandabreathes,My toe looks disgusting and bloody. I have cramps. I can't go home until who knows when. Asdsjk. 
4681,priscx,"im sitting here n brin's running around,simply ignoring me.how am i to leave her for a mth?? "
4682,ashrocksit08,"raining hard again,gonna be wet,but not in the good way "
4683,jmeei,@sophiafoots: argh sims 3!! I want  let me know if the game's as good as what the reviews said 
4684,icloudz,@kristianc They won't lend me monies 
4685,cjengo36,"@mom2nji No I am not going. I cannot afford it, and wasn't sponosored "
4686,laurencrook,keeps making ten different versions of my logo for my website and really can't decide 
4687,bethisfknboss,@aligauthier  now i have no friends here haha
4688,haleypow,I'm dreading the day our landlord rents the apt next door. We share a wall (in every room). I can hear him just walking around in there. 
4689,caseym22,@Mollyj74 i want to but after checking my bank balance i doubt i can 
4690,lpspblg,"OMG I want to go make a video outside but it's raining  maybe I can get Jason and Mary, then come to my house and make a video(um)"
4691,steph_davies,@TomFelton please reply to me. I want you to be my 10th tweet from a celebrity. 
4692,beachbumben,@cliffrowley their cloaking devices fail 
4693,xjasonleex,Trying to adjust with not having my little girl around 
4694,joebucknam,@ashleyarminio I loved Friendly's when I lived in NJ...None here in Texas 
4695,typicalkiwi,@nicmcc going to tiffany now.. Gf's birthday 
4696,Zonnah,I think I may have to call the doc 
4697,laShel,@Chayid you should've gone!! 
4698,IndiaLovesYou,@SoWavY45 YUP! Find something for me to eat 
4699,Libbywatson,"All my hopes smashed...So it turns out they haven't started filming Arrested Development: The Movie, but instead it was a Twitter rumor "
4700,Bkaita,shes leaving 
4701,tombo23,"@d_archer lol, let's hope they don't then, rly bored at the mo "
4702,hanofthenah,Mama cat still MIA 
4703,Ninalita,Why must my father be such a crab this morning? 
4704,TheBigEasyTease,This is hilarious!!! Poor Marlin!!!  http://twitpic.com/6r2v6
4705,flowasone,"@squareboyy damnnn i still have yet to see it  was supposed to go on thursday but.. my fever.. YIU so lun annoying, i miss everything -.-"
4706,Martababesx,"want to go to sleep because im tired and sick ... and voice is gone so caant sing , could it get any wose i believe it can (bohoo!) "
4707,AnniJB,"Freakin burger made my tummy hurt  Haha, this is fun http://img41.imageshack.us/img41/455/bearfun.jpg :'d"
4708,nuala,eyargh! all the people i root for in roland garros lost  sitting on the fence for the men's finals.
